,DistrictId,Rooms,Square,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B
0,35,2.0,47.981561235175036,6.0,7.0,9.0,1969,0.089039719,33,7976,5,0,11,0,1,0,1,0,1
1,41,3.0,65.68363987232783,8.0,7.0,9.0,1978,6.99893e-05,46,10309,1,1,16,0,1,0,1,0,1
2,53,2.0,44.947952764125006,0.0,8.0,12.0,1968,0.049637257,34,7759,0,1,3,0,1,0,1,0,1
3,58,2.0,53.352981355613345,9.0,8.0,17.0,1977,0.43788524,23,5735,3,0,5,0,1,0,1,0,1
4,99,1.0,39.649191950029994,7.0,11.0,12.0,1976,0.012338886,35,5776,1,2,4,0,1,0,1,0,1
5,59,3.0,80.38447920267191,12.0,5.0,17.0,2011,0.309479124,35,7715,4,0,6,0,1,0,1,0,1
6,154,2.0,62.254113586402504,7.0,3.0,5.0,1960,0.460556389,20,4386,14,1,5,0,1,0,1,0,1
9,23,1.0,46.46140869718414,8.0,13.0,17.0,2014,0.075778755,6,1437,3,0,2,0,1,0,1,0,1
10,28,2.0,46.30490677332586,6.0,8.0,9.0,1973,0.118537385,30,6207,1,1,0,0,1,0,1,0,1
11,31,3.0,68.80885909839964,7.0,1.0,8.0,1959,0.0,23,3684,2,0,4,0,1,0,1,0,1
12,13,2.0,54.5228049029371,1.0,8.0,12.0,1999,0.090799103,74,19083,2,5,15,0,1,0,1,0,1
13,57,3.0,68.10273923286483,8.0,6.0,12.0,1980,0.13321533300000002,49,11395,3,3,4,0,1,0,1,1,0
14,27,1.0,53.769097136525275,1.0,4.0,4.0,1977,0.072157581,2,629,1,0,0,0,1,0,1,1,0
15,85,3.0,73.6122247317727,6.0,4.0,9.0,1979,0.037177818,52,11217,1,1,7,0,1,0,1,0,1
16,27,2.0,49.36064780032354,5.0,5.0,5.0,1983,0.051815435,5,1227,0,0,0,0,1,0,1,0,1
17,34,2.0,57.969964222530145,9.0,6.0,14.0,2001,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
18,57,1.0,44.51348081256669,8.0,6.0,12.0,1983,0.13321533300000002,49,11395,3,3,4,0,1,0,1,1,0
19,19,3.0,110.95979224728356,11.0,16.0,25.0,2012,0.000991363,33,6783,3,1,9,0,1,0,1,0,1
20,0,3.0,103.60529197422831,10.0,12.0,17.0,2002,0.319809354,25,4756,16,5,8,0,1,0,1,0,1
22,48,1.0,41.668649656506325,10.0,19.0,22.0,1996,0.041124634,46,9515,5,1,10,0,1,0,1,0,1
24,150,3.0,62.180535989371776,5.0,4.0,5.0,1964,0.020741326,24,5613,5,2,5,0,1,0,1,0,1
26,27,3.0,106.95887123511149,0.0,1.0,1.0,2018,0.072157581,2,629,1,0,0,0,1,0,1,1,0
28,23,1.0,43.96775892567469,1.0,3.0,9.0,2014,0.034656082000000005,0,168,0,0,0,0,1,0,1,0,1
29,11,2.0,48.37223191245333,6.0,4.0,9.0,1972,0.00016967599999999998,36,5992,0,1,1,0,1,0,1,0,1
30,50,2.0,39.43535081853332,7.0,9.0,9.0,1965,0.007658515,35,7077,56,3,19,0,1,0,1,0,1
31,61,1.0,41.7651555000357,9.0,12.0,16.0,1984,0.300322518,52,10311,6,1,9,0,1,0,1,0,1
32,27,2.0,63.679115983087094,1.0,9.0,15.0,1977,0.017647053,2,469,0,0,0,0,1,0,1,0,1
33,44,1.0,34.7672268816687,6.0,7.0,9.0,1972,0.036122292,24,4378,0,1,1,0,1,0,1,0,1
34,90,2.0,42.17678220950818,5.0,2.0,5.0,1965,0.265088676,37,5288,0,3,2,0,1,0,1,0,1
35,200,3.0,85.28038875664878,9.0,5.0,5.0,1960,0.0,33,7425,1,2,5,0,1,0,1,0,1
37,43,2.0,43.701661788670734,5.0,5.0,9.0,1961,0.015016892,17,3079,59,0,8,0,1,0,1,0,1
38,177,3.0,77.8739361356098,12.0,9.0,25.0,2012,0.0,36,6714,2,0,2,0,1,0,1,0,1
40,99,2.0,45.257138805377025,5.0,4.0,5.0,1971,0.033493708,66,10573,1,3,8,0,1,0,1,0,1
41,101,3.0,58.4198155580721,5.0,5.0,5.0,1963,0.225824954,41,6558,7,3,2,1,0,0,1,0,1
42,1,2.0,56.49431782042168,0.0,9.0,17.0,1977,0.007122317,1,264,0,0,1,0,1,0,1,0,1
44,38,3.0,106.34040255951886,0.0,1.0,1.0,2017,0.060753049,15,2787,2,0,7,0,1,0,1,0,1
45,21,2.0,48.85174210675611,5.0,5.0,5.0,1970,0.194489265,47,8004,3,3,5,0,1,0,1,0,1
47,103,1.0,41.53813827372754,8.0,7.0,16.0,1981,0.014423114,19,3806,4,0,3,0,1,0,1,0,1
48,23,1.0,47.080100247481404,12.0,3.0,9.0,1977,0.014072961,2,475,0,0,0,0,1,0,1,0,1
49,98,1.0,41.27061351984075,7.0,8.0,14.0,2003,0.195781053,23,5212,6,3,2,0,1,0,1,0,1
50,170,1.0,35.390235379659565,5.0,3.0,5.0,1963,0.21843974,21,4472,6,4,7,0,1,0,1,1,0
51,94,1.0,35.28089402875877,6.0,9.0,9.0,1971,0.282797669,33,8667,2,0,6,0,1,0,1,0,1
52,1,2.0,65.22460279642264,0.0,17.0,22.0,2016,0.007122317,1,264,0,0,1,0,1,0,1,0,1
53,44,1.0,31.89348347603991,7.0,3.0,14.0,1973,0.175054867,36,10055,3,1,0,0,1,0,1,0,1
55,48,3.0,60.49673620327934,6.0,4.0,9.0,1980,0.041124634,46,9515,5,1,10,0,1,0,1,0,1
56,5,2.0,54.477432041659135,7.0,14.0,22.0,1991,0.150817539,16,3433,4,4,5,0,1,0,1,0,1
58,28,1.0,38.007936217693626,9.0,1.0,12.0,1970,0.118537385,30,6207,1,1,0,0,1,0,1,0,1
59,11,2.0,57.322494472127154,10.0,5.0,16.0,1980,0.00016967599999999998,36,5992,0,1,1,0,1,0,1,0,1
60,88,2.0,47.31752643089487,6.0,6.0,12.0,1975,0.127375905,43,8429,3,3,9,0,1,0,1,0,1
62,47,2.0,54.7873237643134,8.0,1.0,12.0,1978,6.99893e-05,46,10309,1,1,16,0,1,0,1,0,1
66,31,2.0,57.95597269122314,9.0,17.0,17.0,2001,0.151346216,32,5889,10,4,1,0,1,1,0,0,1
67,57,2.0,45.96488978915266,5.0,5.0,5.0,1963,0.13321533300000002,49,11395,3,3,4,0,1,0,1,1,0
68,77,1.0,42.67884386982604,8.0,12.0,12.0,1983,6.99893e-05,46,10309,1,1,16,0,1,0,1,0,1
69,27,2.0,64.92910276079539,10.0,15.0,17.0,2016,0.072157581,2,629,1,0,0,0,1,0,1,1,0
71,74,2.0,84.68773160202026,0.0,12.0,17.0,2017,0.075778755,6,1437,3,0,2,0,1,0,1,0,1
72,74,1.0,52.45758937232919,0.0,17.0,17.0,1977,0.075778755,6,1437,3,0,2,0,1,0,1,0,1
73,79,1.0,39.42966643301249,9.0,2.0,16.0,1981,0.16909109,19,3856,10,2,5,0,1,0,1,0,1
74,6,2.0,63.184422013103685,1.0,17.0,17.0,2016,0.243204519,5,1564,0,0,0,0,1,0,1,0,1
75,9,1.0,50.299167150679395,9.0,11.0,16.0,2006,0.136244425,11,2370,0,0,1,0,1,0,1,0,1
76,34,1.0,47.90932737998546,1.0,1.0,1.0,2016,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
77,85,4.0,65.55983414534953,6.0,6.0,9.0,1976,0.037177818,52,11217,1,1,7,0,1,0,1,0,1
78,156,1.0,39.24892718662953,7.0,13.0,17.0,2009,0.007658515,35,7077,56,3,19,0,1,0,1,0,1
79,69,1.0,39.252554812007496,7.0,1.0,16.0,1985,0.000991363,33,6783,3,1,9,0,1,0,1,0,1
80,108,2.0,49.888740020585054,6.0,9.0,12.0,1974,0.0,23,3684,2,0,4,0,1,0,1,0,1
81,96,2.0,62.78380934113364,10.0,5.0,10.0,1994,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
82,169,2.0,58.433607265665074,8.0,3.0,14.0,1970,0.210473241,11,2398,2,3,0,0,1,0,1,0,1
83,18,2.0,61.71855284835026,10.0,10.0,11.0,2000,0.0,30,5562,0,0,5,0,1,0,1,1,0
84,21,1.0,42.5012260708919,8.0,2.0,12.0,1979,0.194489265,47,8004,3,3,5,0,1,0,1,0,1
85,27,2.0,54.583231282802906,11.0,2.0,9.0,2000,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
87,94,2.0,47.145626414517814,5.0,9.0,9.0,1976,0.127375905,43,8429,3,3,9,0,1,0,1,0,1
88,41,2.0,48.07704110377844,5.0,5.0,9.0,1968,0.175054867,36,10055,3,1,0,0,1,0,1,0,1
89,128,2.0,52.08218293973108,8.0,7.0,17.0,1994,0.0,27,4798,0,2,8,0,1,0,1,0,1
90,10,2.0,50.29076173681866,6.0,12.0,12.0,1973,0.089039719,33,7976,5,0,11,0,1,0,1,0,1
91,144,2.0,49.0307877478954,8.0,2.0,5.0,1964,0.306977489,27,5148,14,5,7,0,1,0,1,0,1
92,120,3.0,58.57037093462771,5.0,4.0,5.0,1961,0.341071945,27,5664,48,3,11,0,1,0,1,0,1
93,39,1.0,34.19820977216433,6.0,7.0,9.0,1973,0.428825818,25,5011,8,0,2,0,1,0,1,0,1
94,7,3.0,74.97105425768765,10.0,16.0,17.0,1987,0.0,23,5067,4,2,6,0,1,0,1,0,1
95,34,2.0,61.33496777880346,1.0,1.0,1.0,2014,0.069753361,53,13670,4,1,11,0,1,0,1,0,1
96,27,2.0,58.93727974313555,11.0,2.0,7.0,1998,0.041116354,53,14892,4,1,4,0,1,0,1,0,1
97,84,3.0,63.72823655447478,6.0,9.0,9.0,1971,0.14966637300000002,22,4789,2,4,1,0,1,0,1,0,1
99,61,1.0,33.646711450929125,5.0,8.0,9.0,1975,0.300322518,52,10311,6,1,9,0,1,0,1,0,1
100,1,1.0,50.61776843485736,1.0,10.0,24.0,1977,0.007122317,1,264,0,0,1,0,1,0,1,0,1
101,1,2.0,62.96990315347615,10.0,14.0,14.0,2014,0.007122317,1,264,0,0,1,0,1,0,1,0,1
102,123,2.0,58.91191808519165,9.0,12.0,17.0,2005,0.0,47,11319,0,3,5,0,1,0,1,0,1
105,1,2.0,53.18796830353497,8.0,7.0,17.0,1990,0.025609157,33,5261,0,3,1,0,1,0,1,0,1
106,57,3.0,64.0151002560132,6.0,10.0,12.0,1984,0.13321533300000002,49,11395,3,3,4,0,1,0,1,1,0
107,159,3.0,61.809021596554686,6.0,2.0,9.0,1972,0.015016892,17,3079,59,0,8,0,1,0,1,0,1
108,27,2.0,62.224569197974155,1.0,8.0,17.0,2016,0.017647053,2,469,0,0,0,0,1,0,1,0,1
109,70,2.0,45.592912912750855,6.0,3.0,9.0,1981,0.002211665,39,7614,3,1,5,0,1,0,1,1,0
110,39,1.0,35.683059286946204,7.0,12.0,12.0,1977,0.428825818,25,5011,8,0,2,0,1,0,1,0,1
111,94,2.0,39.900424683233375,6.0,12.0,14.0,1982,0.282797669,33,8667,2,0,6,0,1,0,1,0,1
112,129,3.0,65.68346852974332,7.0,11.0,12.0,1977,0.020741326,24,5613,5,2,5,0,1,0,1,0,1
113,3,1.0,42.145274302242434,10.0,3.0,14.0,1984,0.265088676,37,5288,0,3,2,0,1,0,1,0,1
114,95,2.0,42.389567415418014,5.0,1.0,5.0,1963,0.0,7,1660,39,1,5,0,1,0,1,0,1
