,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B
0,14038,35,2.0,47.981561235175036,29.44275054713416,6.0,7.0,9.0,1969,0.089039719,33,7976,5,,0,11,0,1,0,1,0,1
1,15053,41,3.0,65.68363987232783,40.04954252356546,8.0,7.0,9.0,1978,6.99893e-05,46,10309,1,240.0,1,16,0,1,0,1,0,1
2,4765,53,2.0,44.947952764125006,29.1976116880482,0.0,8.0,12.0,1968,0.049637257,34,7759,0,229.0,1,3,0,1,0,1,0,1
3,5809,58,2.0,53.352981355613345,52.73151204863503,9.0,8.0,17.0,1977,0.43788524,23,5735,3,1084.0,0,5,0,1,0,1,0,1
4,10783,99,1.0,39.649191950029994,23.7761691108976,7.0,11.0,12.0,1976,0.012338886,35,5776,1,2078.0,2,4,0,1,0,1,0,1
5,12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5.0,17.0,2011,0.309479124,35,7715,4,990.0,0,6,0,1,0,1,0,1
6,14549,154,2.0,62.254113586402504,37.16037741888674,7.0,3.0,5.0,1960,0.460556389,20,4386,14,,1,5,0,1,0,1,0,1
7,11993,74,2.0,80.31292563185586,,0.0,0.0,0.0,1977,0.075778755,6,1437,3,,0,2,0,1,0,1,0,1
8,5172,1,2.0,64.51143730838427,,1.0,9.0,17.0,1977,0.007122317,1,264,0,,0,1,0,1,0,1,0,1
9,8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13.0,17.0,2014,0.075778755,6,1437,3,,0,2,0,1,0,1,0,1
10,15370,28,2.0,46.30490677332586,27.922584447134266,6.0,8.0,9.0,1973,0.118537385,30,6207,1,1183.0,1,0,0,1,0,1,0,1
11,12427,31,3.0,68.80885909839964,45.736905639421956,7.0,1.0,8.0,1959,0.0,23,3684,2,,0,4,0,1,0,1,0,1
12,6452,13,2.0,54.5228049029371,31.75975305618809,1.0,8.0,12.0,1999,0.090799103,74,19083,2,,5,15,0,1,0,1,0,1
13,2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6.0,12.0,1980,0.13321533300000002,49,11395,3,1406.0,3,4,0,1,0,1,1,0
14,10953,27,1.0,53.769097136525275,52.40802696611313,1.0,4.0,4.0,1977,0.072157581,2,629,1,,0,0,0,1,0,1,1,0
15,2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4.0,9.0,1979,0.037177818,52,11217,1,2300.0,1,7,0,1,0,1,0,1
16,2119,27,2.0,49.36064780032354,31.993963547007414,5.0,5.0,5.0,1983,0.051815435,5,1227,0,,0,0,0,1,0,1,0,1
17,3000,34,2.0,57.969964222530145,32.01248263525128,9.0,6.0,14.0,2001,0.069753361,53,13670,4,,1,11,0,1,0,1,0,1
18,2829,57,1.0,44.51348081256669,23.113423134573804,8.0,6.0,12.0,1983,0.13321533300000002,49,11395,3,1406.0,3,4,0,1,0,1,1,0
19,4909,19,3.0,110.95979224728356,56.996764901321505,11.0,16.0,25.0,2012,0.000991363,33,6783,3,,1,9,0,1,0,1,0,1
20,8862,0,3.0,103.60529197422831,47.799426262469524,10.0,12.0,17.0,2002,0.319809354,25,4756,16,2857.0,5,8,0,1,0,1,0,1
21,11935,27,2.0,64.71183493873933,,1.0,1.0,1.0,1977,0.211401214,9,1892,0,,0,1,0,1,0,1,0,1
22,11852,48,1.0,41.668649656506325,20.207761889892915,10.0,19.0,22.0,1996,0.041124634,46,9515,5,,1,10,0,1,0,1,0,1
23,6641,54,3.0,118.90761184257369,,0.0,0.0,0.0,1977,0.006076152,30,5285,0,645.0,6,6,0,1,0,1,0,1
24,7704,150,3.0,62.180535989371776,44.169694075407364,5.0,4.0,5.0,1964,0.020741326,24,5613,5,1340.0,2,5,0,1,0,1,0,1
25,5073,74,2.0,82.66791473448255,,1.0,16.0,17.0,1977,0.075778755,6,1437,3,,0,2,0,1,0,1,0,1
26,4378,27,3.0,106.95887123511149,0.6418221077821484,0.0,0.0,0.0,2018,0.072157581,2,629,1,,0,0,0,1,0,1,1,0
27,7550,23,2.0,64.55620925344805,,1.0,8.0,17.0,1977,0.075778755,6,1437,3,,0,2,0,1,0,1,0,1
28,8054,23,1.0,43.96775892567469,43.96775892567469,1.0,3.0,9.0,2014,0.034656082000000005,0,168,0,,0,0,0,1,0,1,0,1
